"","epoch","Middle layers","Number of nodes","Validation","Loss","Batch normalization"
"147",27,"1 layer","medium small","Validation error",25.3258094787598,TRUE
"148",28,"1 layer","medium small","Validation error",25.0518760681152,TRUE
"149",29,"1 layer","medium small","Validation error",25.2179756164551,TRUE
"150",30,"1 layer","medium small","Validation error",25.3220558166504,TRUE
"151",1,"1 layer","mega","Validation error",38.6667747497559,TRUE
"152",2,"1 layer","mega","Validation error",32.7383728027344,TRUE
"153",3,"1 layer","mega","Validation error",27.225456237793,TRUE
"154",4,"1 layer","mega","Validation error",27.7064037322998,TRUE
"155",5,"1 layer","mega","Validation error",26.503547668457,TRUE
"156",6,"1 layer","mega","Validation error",26.9949474334717,TRUE
"157",7,"1 layer","mega","Validation error",25.9636096954346,TRUE
"158",8,"1 layer","mega","Validation error",25.9740257263184,TRUE
"159",9,"1 layer","mega","Validation error",27.0405197143555,TRUE
"160",10,"1 layer","mega","Validation error",28.1966285705566,TRUE
"161",11,"1 layer","mega","Validation error",24.5497703552246,TRUE
"162",12,"1 layer","mega","Validation error",25.6810359954834,TRUE
"163",13,"1 layer","mega","Validation error",23.8955039978027,TRUE
"164",14,"1 layer","mega","Validation error",26.5154972076416,TRUE
"165",15,"1 layer","mega","Validation error",26.160665512085,TRUE
"166",16,"1 layer","mega","Validation error",28.4199829101562,TRUE
"167",17,"1 layer","mega","Validation error",27.622257232666,TRUE
"168",18,"1 layer","mega","Validation error",25.768928527832,TRUE
"169",19,"1 layer","mega","Validation error",23.6901435852051,TRUE
"170",20,"1 layer","mega","Validation error",27.0212230682373,TRUE
"171",21,"1 layer","mega","Validation error",24.3242568969727,TRUE
"172",22,"1 layer","mega","Validation error",23.4549255371094,TRUE
"173",23,"1 layer","mega","Validation error",27.8401889801025,TRUE
"174",24,"1 layer","mega","Validation error",25.5762786865234,TRUE
"175",25,"1 layer","mega","Validation error",23.7493629455566,TRUE
"176",26,"1 layer","mega","Validation error",24.7741622924805,TRUE
"177",27,"1 layer","mega","Validation error",23.4259223937988,TRUE
"178",28,"1 layer","mega","Validation error",27.2903823852539,TRUE
"179",29,"1 layer","mega","Validation error",25.6685085296631,TRUE
"180",30,"1 layer","mega","Validation error",24.8133850097656,TRUE
"181",1,"1 layer","small","Validation error",90.5923538208008,TRUE
"182",2,"1 layer","small","Validation error",42.5157928466797,TRUE
"183",3,"1 layer","small","Validation error",26.3287525177002,TRUE
"184",4,"1 layer","small","Validation error",25.6767902374268,TRUE
"185",5,"1 layer","small","Validation error",25.7898101806641,TRUE
"186",6,"1 layer","small","Validation error",25.8528614044189,TRUE
"187",7,"1 layer","small","Validation error",25.8009757995605,TRUE
"188",8,"1 layer","small","Validation error",25.4795799255371,TRUE
"189",9,"1 layer","small","Validation error",25.2220458984375,TRUE
"190",10,"1 layer","small","Validation error",25.5659961700439,TRUE
"191",11,"1 layer","small","Validation error",25.5320301055908,TRUE
"192",12,"1 layer","small","Validation error",25.5084114074707,TRUE
"193",13,"1 layer","small","Validation error",25.1431159973145,TRUE
"194",14,"1 layer","small","Validation error",25.291316986084,TRUE
"195",15,"1 layer","small","Validation error",25.4118804931641,TRUE
"196",16,"1 layer","small","Validation error",25.236047744751,TRUE
"197",17,"1 layer","small","Validation error",25.1286945343018,TRUE
"198",18,"1 layer","small","Validation error",25.2349414825439,TRUE
"199",19,"1 layer","small","Validation error",25.0758686065674,TRUE
"200",20,"1 layer","small","Validation error",25.6272659301758,TRUE
"201",21,"1 layer","small","Validation error",25.6781558990479,TRUE
"202",22,"1 layer","small","Validation error",25.224142074585,TRUE
"203",23,"1 layer","small","Validation error",25.4700088500977,TRUE
"204",24,"1 layer","small","Validation error",25.6987972259521,TRUE
"205",25,"1 layer","small","Validation error",25.2821998596191,TRUE
"206",26,"1 layer","small","Validation error",25.343620300293,TRUE
"207",27,"1 layer","small","Validation error",25.6116600036621,TRUE
"208",28,"1 layer","small","Validation error",25.1966686248779,TRUE
"209",29,"1 layer","small","Validation error",25.6911869049072,TRUE
"210",30,"1 layer","small","Validation error",25.6124439239502,TRUE
"211",1,"2 layer","huge","Validation error",37.1553688049316,TRUE
"212",2,"2 layer","huge","Validation error",26.766975402832,TRUE
"213",3,"2 layer","huge","Validation error",25.2152214050293,TRUE
"214",4,"2 layer","huge","Validation error",29.7188091278076,TRUE
"215",5,"2 layer","huge","Validation error",25.5864944458008,TRUE
"216",6,"2 layer","huge","Validation error",25.5396747589111,TRUE
"217",7,"2 layer","huge","Validation error",23.2528686523438,TRUE
"218",8,"2 layer","huge","Validation error",26.2338275909424,TRUE
"219",9,"2 layer","huge","Validation error",26.4366359710693,TRUE
"220",10,"2 layer","huge","Validation error",23.4479942321777,TRUE
"221",11,"2 layer","huge","Validation error",26.7279758453369,TRUE
"222",12,"2 layer","huge","Validation error",23.5385398864746,TRUE
"223",13,"2 layer","huge","Validation error",26.1303863525391,TRUE
"224",14,"2 layer","huge","Validation error",24.5159549713135,TRUE
"225",15,"2 layer","huge","Validation error",23.5211353302002,TRUE
"226",16,"2 layer","huge","Validation error",24.9431114196777,TRUE
"227",17,"2 layer","huge","Validation error",24.1540622711182,TRUE
"228",18,"2 layer","huge","Validation error",24.2029571533203,TRUE
"229",19,"2 layer","huge","Validation error",26.2229957580566,TRUE
"230",20,"2 layer","huge","Validation error",25.0061950683594,TRUE
"231",21,"2 layer","huge","Validation error",23.761402130127,TRUE
"232",22,"2 layer","huge","Validation error",25.10595703125,TRUE
"233",23,"2 layer","huge","Validation error",24.0311965942383,TRUE
"234",24,"2 layer","huge","Validation error",23.2357654571533,TRUE
"235",25,"2 layer","huge","Validation error",23.416187286377,TRUE
"236",26,"2 layer","huge","Validation error",23.6420936584473,TRUE
"237",27,"2 layer","huge","Validation error",23.7832088470459,TRUE
"238",28,"2 layer","huge","Validation error",23.9050254821777,TRUE
"239",29,"2 layer","huge","Validation error",23.6260070800781,TRUE
"240",30,"2 layer","huge","Validation error",23.7281932830811,TRUE
"241",1,"2 layer","large","Validation error",33.5463447570801,TRUE
"242",2,"2 layer","large","Validation error",27.943977355957,TRUE
"243",3,"2 layer","large","Validation error",25.5238590240479,TRUE
"244",4,"2 layer","large","Validation error",25.2925891876221,TRUE
"245",5,"2 layer","large","Validation error",25.3851318359375,TRUE
"246",6,"2 layer","large","Validation error",24.6740837097168,TRUE
"247",7,"2 layer","large","Validation error",24.4997043609619,TRUE
"248",8,"2 layer","large","Validation error",24.1090850830078,TRUE
"249",9,"2 layer","large","Validation error",26.2154388427734,TRUE
"250",10,"2 layer","large","Validation error",23.1333332061768,TRUE
"251",11,"2 layer","large","Validation error",27.1795635223389,TRUE
"252",12,"2 layer","large","Validation error",24.5489234924316,TRUE
